class	verdict	registration_name	image_occurrences	nul_terminated_runs	zh_registers_it	ledger_rows	claimed_rvas
HorseHordeContain	REGISTERED	HorseHordeContain	2	1	no	5	0x00115DE0 0x00115E70 0x002472D0 0x0024D220 0x0024D410
ImmortalBody	REGISTERED	ImmortalBody	1	1	yes	7	0x0011F530 0x00213990 0x002139E0 0x00213A10 0x00213AA0 0x0027F130 0x007EFFF0
InactiveBody	REGISTERED	InactiveBody	2	2	yes	8	0x00113BE0 0x0011F320 0x001CEFC0 0x00213B90 0x00213BF0 0x00213D60 0x00213E40 0x007EFFF0
InstantDeathBehavior	REGISTERED	InstantDeathBehavior	2	1	yes	11	0x00115360 0x001153E0 0x00123290 0x00200BA0 0x00200C00 0x00201650 0x00201810 0x00201840 0x0027F130 0x005BF290 0x007EFFF0
InternetHackContain	ABSENT	InternetHackContain	0	0	yes	0	
JetAIUpdate	ABSENT	JetAIUpdate	0	0	yes	0	
JetSlowDeathBehavior	ABSENT	JetSlowDeathBehavior	0	0	yes	0	
KeepObjectDie	REGISTERED	KeepObjectDie	1	1	yes	6	0x00117BC0 0x00122ED0 0x00125340 0x00255870 0x002558D0 0x007EFFF0
LargeGroupAudioUpdate	REGISTERED	LargeGroupAudioUpdate	2	1	no	9	0x0011C200 0x0011C280 0x00296250 0x00296C80 0x00296D50 0x00296DE0 0x002971F0 0x002972B0 0x00297390
LargeGroupBonusUpdate	REGISTERED	LargeGroupBonusUpdate	2	1	no	10	0x00118B30 0x00118BB0 0x002974D0 0x00297640 0x00297760 0x002977F0 0x00297820 0x002978A0 0x00297930 0x00297D60
LaserUpdate	REGISTERED	LaserUpdate	1	1	yes	13	0x00076E50 0x00118D70 0x00118DF0 0x00295AA0 0x00603790 0x00603820 0x00603910 0x00603A00 0x00603A50 0x006043B0 0x006043E0 0x00604460 +1-more-see---rows
LeafletDropBehavior	ABSENT	LeafletDropBehavior	0	0	yes	2	0x0020D5C0 0x005BF290
LevelGrantSpecialPower	REGISTERED	LevelGrantSpecialPower	1	1	no	6	0x0011FF90 0x00120010 0x0025FD20 0x0025FDD0 0x0025FEF0 0x0025FFF0
LevelUpUpgrade	REGISTERED	LevelUpUpgrade	1	1	no	5	0x0011D320 0x00129C10 0x0012B320 0x002D5F10 0x002D5F90
LifetimeUpdate	REGISTERED	LifetimeUpdate	2	1	yes	13	0x0011A2D0 0x0011A350 0x00297DE0 0x00297E00 0x00297E90 0x00297EB0 0x00297F10 0x00297FD0 0x00298000 0x002980A0 0x00298210 0x002982A0 +1-more-see---rows
LockWeaponCreate	REGISTERED	LockWeaponCreate	1	1	yes	8	0x0011E2D0 0x0011E350 0x0024FC20 0x0024FC70 0x0024FCB0 0x0024FD70 0x0024FE00 0x007EFFF0
LocomotorSetUpgrade	REGISTERED	LocomotorSetUpgrade	1	1	yes	6	0x0011D3A0 0x00129C10 0x0012B430 0x002D6160 0x002D61D0 0x007EFFF0
ManTheWallsSpecialPower	REGISTERED	ManTheWallsSpecialPower	1	1	no	6	0x001211E0 0x00121260 0x00260600 0x00260A90 0x00261260 0x00268F30
MaxHealthUpgrade	REGISTERED	MaxHealthUpgrade	1	1	yes	9	0x0011DC00 0x0011DC80 0x002D6370 0x002D63A0 0x002D6410 0x002D6590 0x002D65C0 0x002D65F0 0x007EFFF0
MinefieldBehavior	ABSENT	MinefieldBehavior	0	0	yes	11	0x000B98F0 0x000BA6F0 0x000BC2A0 0x000FB9C0 0x0010BDB0 0x00233490 0x0036CE20 0x00570920 0x00570970 0x00573F40 0x00574CD0
MissileAIUpdate	ABSENT	MissileAIUpdate	0	0	yes	2	0x0011F9C0 0x002136E0
MissileLauncherBuildingUpdate	ABSENT	MissileLauncherBuildingUpdate	0	0	yes	1	0x005BF290
MobMemberSlavedUpdate	ABSENT	MobMemberSlavedUpdate	0	0	yes	4	0x001FB0C0 0x001FB5D0 0x002A4790 0x005BF290
MobNexusContain	ABSENT	MobNexusContain	0	0	yes	0	
ModelConditionSoundSelectorClientBehavior	REGISTERED	ModelConditionSoundSelectorClientBehavior	1	1	no	6	0x00113DA0 0x00121E30 0x00124A50 0x00126190 0x00607550 0x00607710
ModelConditionSpecialAbilityUpdate	REGISTERED	ModelConditionSpecialAbilityUpdate	1	1	no	9	0x00118FF0 0x00119070 0x002982D0 0x00298320 0x00298380 0x002983E0 0x00298480 0x002984B0 0x002984C0
ModelConditionUpgrade	REGISTERED	ModelConditionUpgrade	1	1	yes	11	0x0011DD10 0x0011DD90 0x0027F130 0x002D6370 0x002D66D0 0x002D6740 0x002D6A20 0x002D6AF0 0x002D6B20 0x005BF290 0x007EFFF0
ModuleFactory	UNREGISTERED_NAMED	ModuleFactory	2	2	no	18	0x0000C054 0x0002047D 0x0005C5D0 0x00069580 0x000695F0 0x000699F0 0x00126260 0x001272C0 0x00127DA0 0x00127E00 0x00128E30 0x00129100 +6-more-see---rows
MoneyCrateCollide	REGISTERED	MoneyCrateCollide	1	1	yes	9	0x0011EF00 0x00125E40 0x00127020 0x00217870 0x00217D10 0x00217D60 0x00217D90 0x00217E30 0x007EFFF0
MonsterDockUpdate	REGISTERED	MonsterDockUpdate	1	1	no	10	0x0011B160 0x0011B1E0 0x002CDA00 0x002CDA30 0x002CDAE0 0x002CDB20 0x002CDBC0 0x002CDCF0 0x002CDD60 0x002CDD90
NeutronBlastBehavior	ABSENT	NeutronBlastBehavior	0	0	yes	1	0x005BF290
NeutronMissileSlowDeathBehavior	ABSENT	NeutronMissileSlowDeathBehavior	0	0	yes	1	0x001F7140
NeutronMissileUpdate	ABSENT	NeutronMissileUpdate	0	0	yes	0	
OCLSpecialPower	REGISTERED	OCLSpecialPower	1	1	yes	18	0x000FB9C0 0x0010BDB0 0x001201B0 0x00120230 0x001291B0 0x001F9DA0 0x002628E0 0x00262930 0x00262AF0 0x00262B90 0x00262BC0 0x00262FE0 +5-more-see---rows
OCLUpdate	REGISTERED	OCLUpdate	2	1	yes	13	0x0011A7C0 0x0011A840 0x001F6F60 0x00298870 0x00298890 0x002988F0 0x00298920 0x00298960 0x002989E0 0x00298A70 0x00298B40 0x00298B70 +1-more-see---rows
OathbreakerBody	REGISTERED	OathbreakerBody	1	1	no	5	0x0011FB60 0x00213F30 0x00213F80 0x00213FB0 0x00214040
OathbreakersFadeAwayBehavior	REGISTERED	OathbreakersFadeAwayBehavior	1	1	no	7	0x0011E250 0x00125CE0 0x00125D70 0x00126F00 0x001F1370 0x00201BB0 0x00201C30
ObjectCreationUpgrade	REGISTERED	ObjectCreationUpgrade	1	1	yes	7	0x0011D420 0x0011D4A0 0x002D6C60 0x002D6D90 0x002D75B0 0x002D7660 0x007EFFF0
OneRingPenaltyUpdate	REGISTERED	OneRingPenaltyUpdate	2	1	no	8	0x0011A3E0 0x0011A460 0x00298CE0 0x00298D30 0x00298D60 0x00298E10 0x00298F10 0x00298FA0
OpenContain	REGISTERED	OpenContain	2	1	yes	20	0x00115960 0x001159E0 0x001BD960 0x0020A730 0x00219650 0x00221720 0x002227E0 0x002228E0 0x002262E0 0x00226460 0x00226CF0 0x00226E50 +7-more-see---rows
OverchargeBehavior	ABSENT	OverchargeBehavior	0	0	yes	3	0x0008A430 0x0008A450 0x0020D5C0
OverlordContain	ABSENT	OverlordContain	0	0	yes	0	
POWTruckAIUpdate	ABSENT	POWTruckAIUpdate	0	0	yes	0	
POWTruckBehavior	ABSENT	POWTruckBehavior	0	0	yes	0	
ParachuteContain	ABSENT	ParachuteContain	0	0	yes	0	
ParkingPlaceBehavior	ABSENT	ParkingPlaceBehavior	0	0	yes	20	0x000C9060 0x000CBC90 0x000FB9C0 0x000FC590 0x0010BDB0 0x001F59F0 0x003CBD10 0x003CC290 0x003CDA00 0x003D14D0 0x003D1710 0x005BF290 +5-more-see---rows
PartTheHeavensUpdate	REGISTERED	PartTheHeavensUpdate	1	1	no	7	0x0011C530 0x0011C5B0 0x00299820 0x002998F0 0x002999D0 0x00299E10 0x00299F50
ParticleUplinkCannonUpdate	ABSENT	ParticleUplinkCannonUpdate	0	0	yes	4	0x0011CC80 0x002A2520 0x002A2690 0x002A26C0
PassengersFireUpgrade	ABSENT	PassengersFireUpgrade	0	0	yes	0	
PassiveAreaEffectBehavior	REGISTERED	PassiveAreaEffectBehavior	1	1	no	7	0x001175D0 0x00117650 0x00202100 0x00202220 0x002022B0 0x002027A0 0x00202870
PhysicsBehavior	REGISTERED	PhysicsBehavior	1	1	yes	11	0x000AF9D0 0x0011A9F0 0x0011AA70 0x0018F307 0x00202AF0 0x0029A090 0x0029A880 0x0029A990 0x0029AA30 0x0029B310 0x005BD440
PilotFindVehicleUpdate	ABSENT	PilotFindVehicleUpdate	0	0	yes	0	
PlayerHealSpecialPower	REGISTERED	PlayerHealSpecialPower	1	1	no	8	0x00121400 0x00121480 0x002639D0 0x00263A20 0x00263AB0 0x00263B50 0x00263BE0 0x00268CB0
PlayerUpgradeSpecialPower	REGISTERED	PlayerUpgradeSpecialPower	1	1	no	8	0x000658A0 0x001212F0 0x00121370 0x00263F50 0x00263FA0 0x00263FF0 0x00264090 0x00264210
PointDefenseLaserUpdate	ABSENT	PointDefenseLaserUpdate	0	0	yes	4	0x00113FB0 0x00123620 0x00286F80 0x00287410
PoisonedBehavior	REGISTERED	PoisonedBehavior	1	1	yes	13	0x00117050 0x001170D0 0x001B2D50 0x00202930 0x002029B0 0x00202B10 0x00202BD0 0x0027F130 0x002B0AD0 0x005BF290 0x006CF660 0x007EFFF0
PorcupineFormationBodyModule	REGISTERED	PorcupineFormationBodyModule	1	1	no	7	0x0011FBE0 0x0011FC60 0x00214170 0x002141C0 0x00214200 0x002142A0 0x00214470
PowerPlantUpdate	ABSENT	PowerPlantUpdate	0	0	yes	2	0x000A71C0 0x000A7210
PowerPlantUpgrade	ABSENT	PowerPlantUpgrade	0	0	yes	0	
PreorderCreate	REGISTERED	PreorderCreate	1	1	yes	8	0x0011E700 0x0024FE70 0x0024FEC0 0x0024FF00 0x0024FF90 0x00250000 0x0027F130 0x007EFFF0
PrisonBehavior	ABSENT	PrisonBehavior	0	0	yes	0	
PrisonDockUpdate	ABSENT	PrisonDockUpdate	0	0	yes	0	
ProductionSpeedBonus	REGISTERED	ProductionSpeedBonus	2	1	no	7	0x001200A0 0x00120120 0x00264450 0x002644B0 0x00264690 0x00264750 0x00268F30
ProductionUpdate	REGISTERED	ProductionUpdate	1	1	yes	13	0x0011AC10 0x0011AC90 0x0029C9E0 0x0029CC70 0x0029CD00 0x0029D190 0x0029D330 0x0029D460 0x0029E260 0x0029FB70 0x0029FC40 0x007EFFF0 +1-more-see---rows
ProjectileStreamUpdate	ABSENT	ProjectileStreamUpdate	0	0	yes	0	
ProneUpdate	REGISTERED	ProneUpdate	1	1	yes	9	0x0011AD30 0x0011ADB0 0x0029FE30 0x0029FE70 0x0029FEE0 0x002A0030 0x002A0090 0x002A0120 0x007EFFF0
PropagandaCenterBehavior	ABSENT	PropagandaCenterBehavior	0	0	yes	0	
PropagandaTowerBehavior	REGISTERED	PropagandaTowerBehavior	1	1	yes	11	0x00116E10 0x0011A130 0x0011CB70 0x00202F40 0x00203050 0x00203130 0x002034F0 0x0028DC60 0x0028DCE0 0x0028DD10 0x007EFFF0
QueueProductionExitUpdate	REGISTERED	QueueProductionExitUpdate	1	1	yes	17	0x001156B0 0x00124150 0x001241B0 0x001F8B80 0x001F8D10 0x002D04B0 0x002D04C0 0x002D04E0 0x002D04F0 0x002D06F0 0x002D07B0 0x002D0890 +5-more-see---rows
RadarUpdate	REGISTERED	RadarUpdate	1	1	yes	7	0x0011AEC0 0x00124240 0x002A01C0 0x002A01E0 0x002A0260 0x002A03E0 0x007EFFF0
RadarUpgrade	REGISTERED	RadarUpgrade	1	1	yes	8	0x0011D540 0x00129C10 0x0012B530 0x002D7AA0 0x002D7B10 0x002D7BD0 0x005BF290 0x007EFFF0
RadiusDecalUpdate	REGISTERED	RadiusDecalUpdate	1	1	yes	11	0x0011A580 0x00123E50 0x002A04E0 0x002A05B0 0x002A0640 0x002A0750 0x002A07B0 0x002A0840 0x005BF290 0x007EFFF0 0x00852130
RailedTransportAIUpdate	ABSENT	RailedTransportAIUpdate	0	0	yes	0	
RailedTransportContain	ABSENT	RailedTransportContain	0	0	yes	0	
RailedTransportDockUpdate	UNREGISTERED_NAMED	RailedTransportDockUpdate	1	1	yes	20	0x0000C27F 0x0027F130 0x002CE290 0x002CE2D0 0x002CE320 0x002CE340 0x002CE360 0x002CE3A0 0x002CE440 0x002CE450 0x002CE4F0 0x002CE580 +8-more-see---rows
RailroadBehavior	ABSENT	RailroadBehavior	0	0	yes	0	
RainOfFireUpdate	REGISTERED	RainOfFireUpdate	2	1	no	5	0x0011C310 0x0011C390 0x002A08B0 0x002A0920 0x002A0C90
RampageBehavior	REGISTERED	RampageBehavior	1	1	no	3	0x001149C0 0x00203C20 0x00203CF0
RandomSoundSelectorClientBehavior	REGISTERED	RandomSoundSelectorClientBehavior	2	1	no	10	0x00122040 0x0012BCC0 0x0012BDD0 0x0012BE60 0x00607A30 0x00607B10 0x00607BE0 0x00607C40 0x00607C90 0x00607D70
RebuildHoleBehavior	ABSENT	RebuildHoleBehavior	0	0	yes	2	0x001F8B80 0x001F8D10
RebuildHoleExposeDie	ABSENT	RebuildHoleExposeDie	0	0	yes	1	0x00123290
ReflectDamage	REGISTERED	ReflectDamage	2	1	no	5	0x0011E900 0x0011E980 0x002516D0 0x002516F0 0x00251770
RefundDie	REGISTERED	RefundDie	1	1	no	7	0x001176E0 0x00123200 0x001232C0 0x00125530 0x00255A80 0x00255AE0 0x00255BE0
RepairDockUpdate	REGISTERED	RepairDockUpdate	1	1	yes	13	0x0011B050 0x0011B0D0 0x001A9110 0x0027F130 0x002CECF0 0x002CED20 0x002CEDC0 0x002CEE00 0x002CEEA0 0x002CEF40 0x002CEF60 0x002CEF90 +1-more-see---rows
RepairSpecialPower	REGISTERED	RepairSpecialPower	1	1	no	7	0x00121730 0x001217B0 0x002647F0 0x00264840 0x00264890 0x00264920 0x00264990
ReplaceObjectUpgrade	ABSENT	ReplaceObjectUpgrade	0	0	yes	1	0x005BF290
ReplenishUnitsBehavior	REGISTERED	ReplenishUnitsBehavior	2	1	no	5	0x001173A0 0x002044E0 0x00204650 0x00204B50 0x00204ED0
RespawnBody	REGISTERED	RespawnBody	1	1	no	8	0x0011F720 0x0011F7A0 0x00211D40 0x00214650 0x002146A0 0x002146D0 0x00214770 0x002149D0
RespawnUpdate	REGISTERED	RespawnUpdate	21	1	no	4	0x0011CC00 0x002A1510 0x002A1630 0x002A1B20
RiderChangeContain	REGISTERED	RiderChangeContain	1	1	yes	14	0x001166D0 0x001195C0 0x00229FB0 0x0022A150 0x0022A230 0x0022A360 0x0022A550 0x0022B3E0 0x0022B480 0x00258730 0x00268120 0x00268A00 +2-more-see---rows
RousingSpeechUpdate	REGISTERED	RousingSpeechUpdate	1	1	no	8	0x0011C640 0x0011C6C0 0x00264BF0 0x00264D10 0x00264DA0 0x00264EA0 0x00265450 0x00265800
RubbleRiseUpdate	REGISTERED	RubbleRiseUpdate	2	1	no	11	0x0011B6C0 0x00127AD0 0x00127BD0 0x00128BD0 0x002A3540 0x002A3640 0x002A3750 0x002A37E0 0x002A3840 0x002A3950 0x002A3A90
RunOffMapBehavior	REGISTERED	RunOffMapBehavior	1	1	no	7	0x001158E0 0x00126760 0x001267E0 0x00205000 0x00205060 0x002050E0 0x00205170
SabotageCommandCenterCrateCollide	ABSENT	SabotageCommandCenterCrateCollide	0	0	yes	1	0x005BF290
SabotageFakeBuildingCrateCollide	ABSENT	SabotageFakeBuildingCrateCollide	0	0	yes	1	0x005BF290
SabotageInternetCenterCrateCollide	ABSENT	SabotageInternetCenterCrateCollide	0	0	yes	1	0x005BF290
SabotageMilitaryFactoryCrateCollide	ABSENT	SabotageMilitaryFactoryCrateCollide	0	0	yes	1	0x005BF290
SabotagePowerPlantCrateCollide	ABSENT	SabotagePowerPlantCrateCollide	0	0	yes	1	0x005BF290
SabotageSuperweaponCrateCollide	ABSENT	SabotageSuperweaponCrateCollide	0	0	yes	1	0x005BF290
SabotageSupplyCenterCrateCollide	ABSENT	SabotageSupplyCenterCrateCollide	0	0	yes	1	0x005BF290
SabotageSupplyDropzoneCrateCollide	ABSENT	SabotageSupplyDropzoneCrateCollide	0	0	yes	1	0x005BF290
SalvageCrateCollide	REGISTERED	SalvageCrateCollide	2	1	yes	8	0x0011F190 0x00218030 0x00218090 0x002180F0 0x00218190 0x00218320 0x005BF290 0x007EFFF0
ScavengerSpecialPower	REGISTERED	ScavengerSpecialPower	1	1	no	7	0x001204E0 0x00120560 0x002658B0 0x00265900 0x00265930 0x00265960 0x00265A80
ShareExperienceBehavior	REGISTERED	ShareExperienceBehavior	2	1	no	7	0x00116BF0 0x00116C70 0x002056B0 0x00205740 0x00205830 0x002059C0 0x00205AC0
ShroudCrateCollide	REGISTERED	ShroudCrateCollide	1	1	yes	10	0x0011EDC0 0x0011EF80 0x00125E40 0x00217870 0x00218620 0x00218670 0x00218690 0x00218770 0x00218800 0x007EFFF0
SiegeAIUpdate	REGISTERED	SiegeAIUpdate	1	1	no	5	0x00118C40 0x00118CC0 0x002C52E0 0x002C5330 0x002C53D0
SiegeDeployHordeSpecialPower	REGISTERED	SiegeDeployHordeSpecialPower	1	1	no	6	0x00120D70 0x00120DF0 0x00265B20 0x00265C30 0x00265D90 0x00265ED0
SiegeDeploySpecialPower	REGISTERED	SiegeDeploySpecialPower	1	1	no	7	0x00120C60 0x00120CE0 0x0025A4A0 0x00266240 0x00266380 0x00266450 0x002664F0
SiegeDockingBehavior	REGISTERED	SiegeDockingBehavior	1	1	no	7	0x00114E00 0x00114E80 0x00205F60 0x002062C0 0x002063D0 0x00206710 0x002067C0
SiegeEngineContain	REGISTERED	SiegeEngineContain	4	2	no	7	0x00115CD0 0x001162E0 0x0022B870 0x0022B990 0x0022BC50 0x0022BE30 0x0022BF30
SlaughterHordeContain	REGISTERED	SlaughterHordeContain	2	1	no	7	0x00116750 0x00116D00 0x0022B160 0x0022B220 0x0024E7A0 0x0024E850 0x0024EB00
SlaveWatcherBehavior	REGISTERED	SlaveWatcherBehavior	1	1	no	7	0x001174C0 0x00117540 0x00207300 0x002073C0 0x002074C0 0x00207510 0x00207580
SlavedUpdate	REGISTERED	SlavedUpdate	2	1	yes	16	0x0011B270 0x00125A60 0x00126980 0x002A41D0 0x002A4260 0x002A4320 0x002A43B0 0x002A43F0 0x002A44A0 0x002A4660 0x002A4720 0x002A47F0 +4-more-see---rows
SlowDeathBehavior	REGISTERED	SlowDeathBehavior	4	3	yes	12	0x00115470 0x001154F0 0x001C0F90 0x00207B60 0x00207D10 0x002080B0 0x002093F0 0x002095F0 0x00209BB0 0x0020A150 0x0020A570 0x0020A730
SmartBombTargetHomingUpdate	ABSENT	SmartBombTargetHomingUpdate	0	0	yes	6	0x00113FB0 0x00286DC0 0x00286F80 0x00287100 0x00287410 0x005BF290
SpawnBehavior	REGISTERED	SpawnBehavior	1	1	yes	16	0x00115590 0x0011A150 0x0012A970 0x0012AA20 0x0012AA50 0x0012AAC0 0x0020AE30 0x0020B0F0 0x0020B180 0x0020B6B0 0x0020C050 0x0061A860 +4-more-see---rows
SpawnPointProductionExitUpdate	REGISTERED	SpawnPointProductionExitUpdate	1	1	yes	13	0x0003B566 0x0011B470 0x00126C70 0x002D1480 0x002D1710 0x002D17A0 0x002D2010 0x002D2150 0x002D21A0 0x0035F0F0 0x005BF290 0x006CF680 +1-more-see---rows
SpawnUnitBehavior	REGISTERED	SpawnUnitBehavior	1	1	no	6	0x0011E1D0 0x00125CE0 0x00125D70 0x00126F00 0x0020D0F0 0x0020D1A0
SpecialAbility	SUBSTRING	SpecialAbility	13	0	yes	3	0x002A6520 0x005BF290 0x007EFFF0
SpecialAbilityUpdate	REGISTERED	SpecialAbilityUpdate	10	7	yes	13	0x0001466E 0x001140C0 0x00114140 0x0026D950 0x002A5AA0 0x002A5CC0 0x002A6210 0x002A6320 0x002A6360 0x002A7010 0x002A7540 0x002AA850 +1-more-see---rows
SpecialDisguiseUpdate	REGISTERED	SpecialDisguiseUpdate	1	1	no	6	0x0011CD40 0x0011CDC0 0x00267730 0x002677D0 0x00267820 0x00267A90
SpecialEnemySenseUpdate	REGISTERED	SpecialEnemySenseUpdate	1	1	no	7	0x0011A500 0x00123D00 0x00123D90 0x00125890 0x002AAF30 0x002AAFF0 0x002AB0F0
SpecialPowerCompletionDie	REGISTERED	SpecialPowerCompletionDie	1	1	yes	10	0x00117AA0 0x00123430 0x00123620 0x001236C0 0x00255E30 0x00255EA0 0x00255FD0 0x00256070 0x005BF290 0x007EFFF0
SpecialPowerCompletionDieModuleData	REGISTERED	SpecialPowerCompletionDie	1	1	yes	10	0x00117AA0 0x00123430 0x00123620 0x001236C0 0x00255E30 0x00255EA0 0x00255FD0 0x00256070 0x005BF290 0x007EFFF0
SpecialPowerCreate	REGISTERED	SpecialPowerCreate	1	1	yes	6	0x0011E780 0x00250070 0x002500C0 0x00250100 0x00250190 0x007EFFF0
SpecialPowerModule	REGISTERED	SpecialPowerModule	2	2	no	18	0x00119540 0x00119650 0x0011A150 0x002687C0 0x00268A30 0x00268A60 0x00268A90 0x00268F30 0x00269070 0x00269130 0x00269600 0x0026A1A0 +6-more-see---rows
SpectreGunshipDeploymentUpdate	ABSENT	SpectreGunshipDeploymentUpdate	0	0	yes	0	
SpectreGunshipUpdate	ABSENT	SpectreGunshipUpdate	0	0	yes	2	0x002ED480 0x006BF1D0
SplitHordeSpecialPower	REGISTERED	SplitHordeSpecialPower	1	1	no	7	0x00121620 0x001216A0 0x0026B030 0x0026B080 0x0026B0D0 0x0026B160 0x0026B1D0
SpyVisionSpecialPower	ABSENT	SpyVisionSpecialPower	0	0	yes	1	0x0011F9C0
SpyVisionUpdate	ABSENT	SpyVisionUpdate	0	0	yes	6	0x001144C0 0x00123180 0x001EE950 0x00377D70 0x00378070 0x003780A0
SpyVisionUpdateModuleData	ABSENT	SpyVisionUpdate	0	0	yes	6	0x001144C0 0x00123180 0x001EE950 0x00377D70 0x00378070 0x003780A0
SquishCollide	REGISTERED	SquishCollide	1	1	yes	7	0x0011EBA0 0x00124800 0x00216B90 0x00216BA0 0x00216C00 0x0027F130 0x007EFFF0
StatusBitsUpgrade	REGISTERED	StatusBitsUpgrade	1	1	yes	10	0x00118020 0x0011D5C0 0x00129C10 0x0027F130 0x002D7DA0 0x002D7DD0 0x002D7E40 0x005BF290 0x007EFFF0
StealthDetectorUpdate	REGISTERED	StealthDetectorUpdate	2	1	yes	13	0x0011B2F0 0x001269F0 0x00126B30 0x00126B60 0x00126BE0 0x001EED50 0x0027F130 0x002AB4A0 0x002AB590 0x002AB650 0x002AB690 0x005BF290 +1-more-see---rows
StealthUpdate	REGISTERED	StealthUpdate	2	2	yes	14	0x00049AA3 0x0011B3F0 0x0012A680 0x001EED50 0x002227D0 0x00267D80 0x002AC090 0x002AC440 0x002AC5C0 0x002AC620 0x002ACB70 0x002ACCB0 +2-more-see---rows
StealthUpgrade	REGISTERED	StealthUpgrade	1	1	yes	6	0x0011D6C0 0x00129C10 0x0012BF00 0x002D8000 0x002D8070 0x007EFFF0
StickyBombUpdate	ABSENT	StickyBombUpdate	0	0	yes	2	0x0020D5C0 0x005BF290
StopSpecialPower	REGISTERED	StopSpecialPower	1	1	no	8	0x00120E80 0x00120F00 0x002693E0 0x0026B340 0x0026B3A0 0x0026B400 0x0026B4A0 0x0026B5B0
StructureBody	REGISTERED	StructureBody	1	1	yes	9	0x0011F5E0 0x001293C0 0x001294A0 0x00214AF0 0x00214B50 0x00214BA0 0x00214C30 0x005BF290 0x007EFFF0
StructureCollapseUpdate	REGISTERED	StructureCollapseUpdate	2	1	yes	14	0x0011B630 0x00128940 0x00128A60 0x00128A90 0x00128B10 0x002284A0 0x002A38A0 0x002AE130 0x002AE200 0x002AE310 0x002AE3A0 0x002AE3D0 +2-more-see---rows
StructureToppleUpdate	REGISTERED	StructureToppleUpdate	2	1	yes	17	0x0011B750 0x0012BF50 0x0012C150 0x0012C180 0x0012C250 0x002A4190 0x002AE520 0x002AEF80 0x002AF1E0 0x002AF310 0x002AF3A0 0x002AF3D0 +5-more-see---rows
SubObjectsUpgrade	REGISTERED	SubObjectsUpgrade	1	1	yes	8	0x0011D640 0x0012B6C0 0x0012B7C0 0x0012B7F0 0x002D83A0 0x002D8420 0x002D8A60 0x007EFFF0
SupplyCenterCreate	REGISTERED	SupplyCenterCreate	1	1	yes	7	0x0011E3E0 0x00250260 0x002502B0 0x002502F0 0x00250380 0x002503B0 0x007EFFF0
SupplyCenterDockUpdate	REGISTERED	SupplyCenterDockUpdate	1	1	yes	11	0x0011AF40 0x0011AFC0 0x002CF0C0 0x002CF0F0 0x002CF170 0x002CF1F0 0x002CF290 0x002CF5A0 0x002CF5D0 0x002CF600 0x007EFFF0
SupplyCenterProductionExitUpdate	REGISTERED	SupplyCenterProductionExitUpdate	1	1	yes	12	0x0011B7E0 0x001243A0 0x002CFCA0 0x002CFCD0 0x002D22F0 0x002D2400 0x002D24C0 0x002D25E0 0x0037CC20 0x0037CC50 0x0037CE80 0x007EFFF0
SupplyTruckAIUpdate	REGISTERED	SupplyTruckAIUpdate	2	1	yes	18	0x0011B860 0x0011B930 0x0011B9B0 0x00124400 0x00124430 0x0027F130 0x002C5580 0x002C5740 0x002C5780 0x002C57E0 0x002C5820 0x002C5860 +6-more-see---rows
SupplyWarehouseCreate	REGISTERED	SupplyWarehouseCreate	1	1	yes	7	0x0011E460 0x00250460 0x002504B0 0x002504E0 0x00250570 0x002505A0 0x007EFFF0
SupplyWarehouseCripplingBehavior	REGISTERED	SupplyWarehouseCripplingBehavior	1	1	yes	7	0x00037619 0x00117170 0x001171F0 0x0020D580 0x0020D6B0 0x0020D770 0x007EFFF0
SupplyWarehouseDockUpdate	REGISTERED	SupplyWarehouseDockUpdate	2	1	yes	17	0x0011BA40 0x0011BAC0 0x0027F130 0x002CF680 0x002CF6B0 0x002CF760 0x002CF800 0x002CF860 0x002CF890 0x002CF8C0 0x002CFA50 0x002CFAC0 +5-more-see---rows
SwayClientUpdate	REGISTERED	SwayClientUpdate	2	1	yes	4	0x00121AF0 0x002B0F50 0x006044E0 0x00604560
TaintSpecialPower	REGISTERED	TaintSpecialPower	1	1	no	7	0x00120700 0x00120780 0x0026B650 0x0026B6A0 0x0026B6D0 0x0026B770 0x0026B870
TechBuildingBehavior	ABSENT	TechBuildingBehavior	0	0	yes	4	0x0008A430 0x0008A450 0x0008AD20 0x005BF290
TemporarilyDefectUpdate	REGISTERED	TemporarilyDefectUpdate	1	1	no	6	0x001220C0 0x00124C20 0x002B0AD0 0x002B0BA0 0x002B0EA0 0x00852130
TensileFormationUpdate	ABSENT	TensileFormationUpdate	0	0	yes	4	0x0011E880 0x00252F50 0x00253090 0x002B65B0
ToggleHiddenSpecialAbilityUpdate	REGISTERED	ToggleHiddenSpecialAbilityUpdate	1	1	no	8	0x0011C9E0 0x0011CA60 0x0026BFB0 0x0026BFD0 0x0026C030 0x0026C080 0x0026C100 0x0026C1E0
ToggleMountedSpecialAbilityUpdate	REGISTERED	ToggleMountedSpecialAbilityUpdate	1	1	no	5	0x0011C890 0x0011C910 0x0026C520 0x0026C650 0x0026C730
TooltipUpgrade	REGISTERED	TooltipUpgrade	1	1	no	7	0x0011E030 0x0012BAE0 0x0012BBB0 0x0012BC30 0x002D93E0 0x002D9450 0x00418B50
