uData	0x810120
CritterDesync:  animal %s is in a bad area, return to origin %g,%g,%g.	0x2b32a0
CritterDesync:  m_processedOne false - setting m_originalPos to %g,%g,%g	0x2b32a0
Undeploy	0x2b5800
Deploy	0x2b5800
DozerPrimaryStateMachine	0x2b7870
DozerActionPickActionPosState	0x2b7450
DozerActionMoveToActionPosState	0x2b7450
DozerActionDoActionState	0x2b7450,0x2b7440
DozerActionStateMachine	0x2b7450
DozerPrimaryIdleState	0x2b7870
DozerActionState	0x2b76f0
DozerPrimaryGoingHomeState	0x2b7870
DockingDesync(DOZER) END: Object %s(%d) with target %s(%d) found docking position %g,%g,%g	0x2b8a00
DockingDesync(DOZER) END: Object %s(%d) with no target found docking position %g,%g,%g	0x2b8a00
DockingDesync(DOZER) BEGIN: Object %s(%d) with target %s(%d) at %g,%g,%g	0x2b8a00
INI:MissingDisplayName	0x2b8ff0
DOZER:ConstructionComplete	0x2b8ff0
UnderConstruction	0x2b8ff0
DOZER:RepairComplete	0x2b8ff0
UnderRepairFromDamage	0x2b8ff0
UnderRepairFromRubble	0x2b8ff0
empty	0x2bac00
F:\bfme\Code\gameengine\Source\GameLogic\Object\Update\AIUpdate\FoundationAIUpdate.cpp	0x2bb170
AIAttackSwoopThenIdleStateMachine	0x2bfa80,0x2c0370,0x2bbad0
GiantBirdGuardMachine	0x2c05c0
F:\bfme\Code\gameengine\Source\GameLogic\Object\Update\AIUpdate\GiantBirdAIUpdate.cpp	0x2be180,0x2be4a0,0x2bd940,0x2c38b0,0x2c3020,0x2bee90,0x2bdf10
GiantBirdFollowPathState	0x2bfb00
GiantBirdNormalFlightState	0x2bfb00,0x2bf6d0,0x2c05c0
AIGiantBirdSwoopState	0x2bfb00,0x2bf480
AIGiantBirdAttackState	0x2bfb00,0x2bf480
AIGiantBirdFollowThruState	0x2bfb00,0x2bf480,0x2bec50
GiantBirdFollowWaypointPathState	0x2bfb00
GiantBirdGuardInner	0x2c03f0
GiantBirdGuardIdleState	0x2c05c0,0x2c04c0
GiantBirdGuardOuter	0x2c04d0
GiantBirdAIStateMachine	0x2c1260
SupplyTruckStateMachine	0x2c6430
SupplyTruckAIUpdateMachine	0x2c5db0
SupplyTruckWantsToPickUpOrDeliverBoxesState	0x2c6430
RegroupingState	0x2c6430,0x2c6170
DockingState	0x2c6430,0x2c6240
HarvestingState	0x2c6430
SupplyTruckBusyState	0x2c6430
SupplyTruckIdleState	0x2c6430
TransportAIUpdateMachine	0x2c71d0
WanderAIUpdateMachine	0x2c7700
WorkerStateMachine	0x2c9260
    positionOut=%g,%g,%g	0x2c8a20
    TerrainLogic::FindPositionAround() workingPosition=%g,%g,%g, bestPosition=%g,%g,%g	0x2c8a20
    spotFound=%s, bestPosition=%g,%g,%g, workingPosition=%g,%g,%g	0x2c8a20
    workingPosition=%g,%g,%g	0x2c8a20
    offset=%g,%g,%g, radius=%g	0x2c8a20
    ourPosition=%g,%g,%g, theirPosition=%g,%g,%g	0x2c8a20
    WorkerAIUpdate::findGoodBuildOrRepairPosition() BEGIN: Object %s(%d) with target %s(%d)	0x2c8a20
ActAsDozerState	0x2c9260
ActAsSupplyTruckState	0x2c9260
  target has a bridge behavior	0x2c9c40
  target is a bridge case	0x2c9c40
  WorkerAIUpdate::findGoodBuildOrRepairPositionAndTarget() BEGIN: Object %s(%d) with target %s(%d)	0x2c9c40
DockingDesync(WORKER) END: Object %s(%d) with target %s(%d) found docking position %g,%g,%g	0x2ca130
DockingDesync(WORKER) END: Object %s(%d) with no target found docking position %g,%g,%g	0x2ca130
DockingDesync(WORKER) BEGIN: Object %s(%d) with target %s(%d) at %g,%g,%g	0x2ca130
DockWaiting	0x2cb0a0
DockEnd	0x2cb0a0
DockAction	0x2cb0a0
DockStart	0x2cb0a0
DockUpdate	0x2cce70
F:\bfme\Code\gameengine\Source\GameLogic\Object\Update\DockUpdate\SupplyWarehouseDockUpdate.cpp	0x2cf8c0
>UNSPECIFIED<	0x2d4b30
An upgrade module references %s, which is not an Upgrade	0x2d9c40,0x2d9ff0,0x608090
F:\bfme\Code\gameengine\Source\GameLogic\Object\WeaponEffects\MetaImpactNugget.cpp	0x2dda40
OnCreated	0x2e2870
OnQuenched	0x2e2870
OnAflame	0x2e2870
DamageIncoming	0x2e2870
BeScary	0x2e2870
OnTeamDestroyed	0x2e2870
OnTeamExited	0x2e2870
OnTeamEntered	0x2e2870
OnUnitExited	0x2e2870
OnUnitEntered	0x2e2870
OnArrived	0x2e2870
OnDestroyed	0x2e2870
OnDamaged	0x2e2870
F:\bfme\Code\gameengine\Source\GameLogic\ScriptEngine\LuaScriptEngine.cpp	0x2e2a80,0x2e6170
ObjID#%08x	0x2e32a0
LUA Alert: 	0x2e33b0
 [%.70s]	0x2e51c0
 at line %d	0x2e51c0
function <%d:%.70s>	0x2e51c0
%.70s	0x2e51c0
main of %.70s	0x2e51c0
`%.50s' tag method	0x2e51c0
method `%.50s'	0x2e51c0
function `%.50s'	0x2e51c0
step 	0x2e5390
cont - Exiting LUA debug mode. 	0x2e5390
No console input devices.  Exiting LUA debug mode. 	0x2e5390
Any other text is passed to the LUA interpreter.  Try print('something') 	0x2e5390
cont - continue, step - single step script, where - describe current execution point. 	0x2e5390
where	0x2e5390
 Entering LUA debug mode.  Type ? for help, 'cont' to exit debug mode 	0x2e55a0
Stepping out of LUA function - step disabled. 	0x2e5a70,0x2e5790
 is not a lua function.	0x2ec0a0,0x2e5a70,0x2e5790
 is not defined.	0x2ec0a0,0x2e5a70,0x2e5790
GetClientRandomNumberReal	0x2e9220
CurDrawableIsCurrentTargetKindof	0x2e9220
CurDrawablePlaySound	0x2e9220
CurDrawableAllowToContinue	0x2e9220
CurDrawableSetTransitionAnimState	0x2e9220
CurDrawablePrevAnimFraction	0x2e9220
CurDrawableGetCurrentTargetHeight	0x2e9220
CurDrawableGetCurrentTargetDistance	0x2e9220
CurDrawablePrevAnimation	0x2e9220
CurDrawablePrevAnimationState	0x2e9220
CurDrawableShowModule	0x2e9220
CurDrawableHideModule	0x2e9220
CurDrawableHideSubObjectPermanently	0x2e9220
CurDrawableShowSubObjectPermanently	0x2e9220
CurDrawableHideSubObject	0x2e9220
CurDrawableShowSubObject	0x2e9220
CurDrawableObjectStatus	0x2e9220
CurDrawableModelcondition	0x2e9220
GetFrame	0x2e9220,0x2ec990
_ALERT	0x2e9220,0x2ec990
Error during parsing XML data: 	0x2e996a
ObjectStatusEvent	0x2ea5d0
ModelConditionEvent	0x2ea5d0
ScriptedEvent	0x2ea5d0
InternalEvent	0x2ea5d0
Events	0x2ea5d0,0x2ec770
DebugSingleStep	0x2ec0a0
ScriptFunctionName	0x2ec0a0
EventName	0x2ec0a0
EventHandler	0x2ec0a0
Inherit	0x2ec0a0
EventList	0x2ec770
SageLuaScriptSection	0x2ec770
Data\Scripts\ScriptEvents.xml	0x2ec990
Data\Scripts\Scripts.lua	0x2ec990
GetRandomNumber	0x2ec990
ObjectHideSubObjectPermanently	0x2ec990
ObjectHideSubObject	0x2ec990
ObjectSetDelayedDeath	0x2ec990
ObjectGrantUpgrade	0x2ec990
ObjectCreateAndFireTempWeapon	0x2ec990
ObjectDoSpecialPower	0x2ec990
ObjectSetEnragedState	0x2ec990
ObjectSetFearFactor	0x2ec990
ObjectSetChanting	0x2ec990
ObjectPlaySound	0x2ec990
ObjectEnterRampageState	0x2ec990
ObjectEnterAlertState	0x2ec990
ObjectEnterUncontrollableCowerState	0x2ec990
ObjectEnterCowerState	0x2ec990
ObjectEnterRunAwayPanicState	0x2ec990
ObjectEnterFearState	0x2ec990
ObjectCountNearbyEnemies	0x2ec990
ObjectTestCanSufferFear	0x2ec990
ObjectTestModelCondition	0x2ec990
ObjectTemplateName	0x2ec990
ObjectTeamName	0x2ec990
HordeBroadcastEventToMembers	0x2ec990
ObjectBroadcastEventToUnits	0x2ec990
ObjectBroadcastEventToCivilians	0x2ec990
ObjectBroadcastEventToAllies	0x2ec990
ObjectBroadcastEventToEnemies	0x2ec990
ObjectDispatchEvent	0x2ec990
ObjectSpy	0x2ec990
ObjectDescription	0x2ec990
ExecuteAction	0x2ec990
EvaluateCondition	0x2ec990
%s\ScriptEvents.xml	0x2ecf40
%s\Scripts.lua	0x2ecf40
APT:EndVictorious	0x2f1c10
APT:EndGameOver	0x2f1c10,0x2f1d80
Gui_VictoryScreen	0x2f1c10
Gui_VictoryCheerGood	0x2f1c10
Gui_VictoryCheerEvil	0x2f1c10
APT:EndDefeat	0x35f920,0x2f1d80,0x2f1ec0
Gui_DefeatScreen	0x35f920,0x2f1d80,0x2f1ec0
Team '%s' priority increased to %d for success.	0x2f3960
Team '%s' priority decreased to %d for failure.	0x2f3a60
[Bold]	0x2f3bd0
/___MusicScript_Init	0x2f4650
ERROR-Team hunt with command button - cannot hunt with ability 	0x2f7b80
***WARNING - Team not found:***	0x2f9290,0x2f8fd0
 already exists. Failed Create.	0x2f9290,0x2f8fd0
WARNING - Object with name 	0x2f9290,0x2f8fd0
Aragorn 2	0x2f95a0
F:\bfme\Code\gameengine\Source\GameLogic\ScriptEngine\ScriptActions.cpp	0x3006b0
Call in reinforcement army named 	0x3107f0
ReinforcementArmies/Call in army clean.	0x3107f0
CALL_IN_REINFORCEMENTS_WITHOUT_MOVIE	0x3107f0
Unit_/Assimilates unit with an army by name.	0x3107f0
UNIT_ASSIMILATE_WITH_ARMY_BY_NAME	0x3107f0
Team_/Assimilates team with an army by name.	0x3107f0
TEAM_ASSIMILATE_WITH_ARMY_BY_NAME	0x3107f0
 to be assimilated by army 	0x3107f0
Player_/Assimilates player with an army by name.	0x3107f0
PLAYER_ASSIMILATE_WITH_ARMY_BY_NAME	0x3107f0
Remove reinforcement army named 	0x3107f0
ReinforcementArmies/Remove army.	0x3107f0
REMOVE_REINFORCEMENT_ARMY	0x3107f0
For all units in team 	0x3107f0
Team_/Change object status.	0x3107f0
TEAM_CHANGE_OBJECT_STATUS	0x3107f0
 set object status 	0x3107f0
For unit 	0x3107f0
Unit_/Change object status.	0x3107f0
UNIT_CHANGE_OBJECT_STATUS	0x3107f0
 as not completed.	0x3107f0
Interface/Objectives/Mark mission objective as not completed	0x3107f0
MARK_MISSION_OBJECTIVE_NOT_COMPLETED	0x3107f0
 as completed.	0x3107f0
Mark mission objective 	0x3107f0
Interface/Objectives/Mark mission objective as completed	0x3107f0
MARK_MISSION_OBJECTIVE_COMPLETED	0x3107f0
Hide mission objective 	0x3107f0
Interface/Objectives/Hide mission objective	0x3107f0
HIDE_MISSION_OBJECTIVE	0x3107f0
 visible.	0x3107f0
Make mission objective 	0x3107f0
Interface/Objectives/Show mission objective	0x3107f0
SHOW_MISSION_OBJECTIVE	0x3107f0
Team/Experience/Team Gain Level.	0x3107f0
TEAM_GAIN_LEVEL	0x3107f0
 gains a level with FX turned 	0x3107f0
Unit_/Experience/Unit Gain Level.	0x3107f0
UNIT_GAIN_LEVEL	0x3107f0
Sell everything belonging to 	0x3107f0
Player_/Player sell everything he has.	0x3107f0
PLAYER_SELL_EVERYTHING	0x3107f0
Force all units of player 	0x3107f0
Player_/Force an emotion.	0x3107f0
PLAYER_FORCE_EMOTION	0x3107f0
Force team 	0x3107f0
Team_/Force an emotion.	0x3107f0
TEAM_FORCE_EMOTION	0x3107f0
 to have 	0x3107f0
Force unit 	0x3107f0
Unit_/Force an emotion.	0x3107f0
UNIT_FORCE_EMOTION	0x3107f0
Enable the house color for all units 	0x3107f0
Script/Enables or disables the house color for all units	0x3107f0
ENABLE_HOUSE_COLOR	0x3107f0
Enable the house color for 	0x3107f0
Team_/Enables or disables the house color	0x3107f0
TEAM_ENABLE_HOUSE_COLOR	0x3107f0
Enable house color for 	0x3107f0
Unit_/Enables or disables the house color.	0x3107f0
UNIT_ENABLE_HOUSE_COLOR	0x3107f0
Unit_/Assimilates unit with the first walk on army.	0x3107f0
UNIT_ASSIMILATE_WITH_FIRST_WALK_ON_ARMY	0x3107f0
 to be assimilated by the first walk on army.	0x3107f0
Team_/Assimilates team with the first walk on army.	0x3107f0
TEAM_ASSIMILATE_WITH_FIRST_WALK_ON_ARMY	0x3107f0
Set the camera angle&  height lock to 	0x3107f0
Camera_/Lock or unlock camera height and angle (allow scrolling).	0x3107f0
LOCK_CAMERA_ANGLE_AND_HEIGHT	0x3107f0
Set the camera lock to 	0x3107f0
Camera_/Lock or unlock camera.	0x3107f0
LOCK_CAMERA	0x3107f0
Flash the select button for 	0x3107f0
User_/Flash/Flash a hero select button for a specified amount of time.	0x3107f0
HERO_SELECT_BUTTON_FLASH	0x3107f0
Deselects everything 	0x3107f0
Player_/Select/ Deselects everything.	0x3107f0
DESELECT	0x3107f0
 select object 	0x3107f0
Player_/Select/ Select an object belonging to player.	0x3107f0
SELECT_OBJECT	0x3107f0
Override command points for 	0x3107f0
Player_/Command/ Override player command points.	0x3107f0
OVERRIDE_PLAYER_COMMAND_POINTS	0x3107f0
Team_/Action/Move/Teleport to a waypoint.	0x3107f0
TEAM_TELEPORT_TO_WAYPOINT	0x3107f0
Teleport 	0x3107f0
Unit_/Action/Move/Teleport to a waypoint.	0x3107f0
UNIT_TELEPORT_TO_WAYPOINT	0x3107f0
Unit/Status/Team Set Stand Ground Status.	0x3107f0
TEAM_STAND_GROUND	0x3107f0
Set Stand Ground Status of 	0x3107f0
Unit/Status/Unit Set Stand Ground Status.	0x3107f0
UNIT_STAND_GROUND	0x3107f0
 open is 	0x3107f0
 wants gate 	0x3107f0
Team_/Misc/ Set or clear a team-needs-gate open flag 	0x3107f0
TEAM_NEEDS_OPEN_GATE	0x3107f0
Exits map back to the main menu.	0x3107f0
Map_/ Exit back to the main menu	0x3107f0
MAP_EXIT	0x3107f0
Sell anything on foundation named 	0x3107f0
Base/Sell building on foundation 	0x3107f0
SELL_BUILDING_ON_FOUNDATION	0x3107f0
 nearest team 	0x3107f0
 Owned by 	0x3107f0
Find 	0x3107f0
Scripting_/Reference/ Set reference to object owned by player 	0x3107f0
SET_REF_TO_NEREST_TEAM_OF_TYPE_OWNED_BY_PLAYER	0x3107f0
 and reference as 	0x3107f0
 nearest marker 	0x3107f0
 to object type 	0x3107f0
 give upgrade 	0x3107f0
For Base 	0x3107f0
Script/Upgrade/Upgrade Base with upgrade to the nearest upgradable wall.	0x3107f0
UPGRADE_NEAREST_WALL	0x3107f0
Give Unit 	0x3107f0
Unit_/Upgrade/Give Team upgrade.	0x3107f0
NAMED_RECEIVE_UPGRADE	0x3107f0
. (Default TRUE.)	0x3107f0
Set presence of Fog of War to 	0x3107f0
Map_/Shroud or Reveal/Toggle Fog of War.	0x3107f0
SET_LOGIC_FOG_STATE	0x3107f0
Unit_/AutoAbility/Named set auto abilty to on/off.	0x3107f0
NAME_SET_AUTO_ABILITY	0x3107f0
 set auto ability 	0x3107f0
Team_/AutoAbility/Team set auto ability to on/off.	0x3107f0
TEAM_SET_AUTO_ABILITY	0x3107f0
 repair the nearest building within the radius 	0x3107f0
Team_/Reepair/Repair nearest building that needs it.	0x3107f0
TEAM_REPAIR_NEREST	0x3107f0
Team_/Siege/Deploy near team.	0x3107f0
DEPLOY_SIEGE_NEAR_TEAM	0x3107f0
Team_/Siege/Deploy near waypoint.	0x3107f0
DEPLOY_SIEGE_ON_WAYPOINT	0x3107f0
 within the radius 	0x3107f0
 attempts to Deploy near 	0x3107f0
Unit_/Siege/Deploy near waypoint.	0x3107f0
DEPLOY_NAMED_SIEGE_ON_WAYPOINT	0x3107f0
 set special weapon upgrade to 	0x3107f0
Unit_/Set unit to switch to weapon set.	0x3107f0
NAMED_SET_SPECIAL_WEAPONSET	0x3107f0
Display Reinforcements banner.	0x3107f0
LivingWorld_/Display Reinforcements banner.	0x3107f0
REINFORCEMENTS_DISPLAY_BANNER	0x3107f0
 and store in counter 	0x3107f0
 inside the base 	0x3307e0,0x3107f0
Count units owned by 	0x3107f0
Base/Counters/Count units inside a base.	0x3107f0
SET_COUNTER_TO_BASE_POPULATION	0x3107f0
Scripting_/Counters/Set counter to team threat.	0x3107f0
SET_COUNTER_TO_TEAM_THREAT	0x3107f0
 radius of 	0x3107f0
Scripting_/Counters/Set counter to single unit threat.	0x3107f0
SET_COUNTER_TO_UNIT_THREAT	0x3107f0
 sets its close range weapon to 	0x3107f0
Unit/Toggle close range weapon	0x3107f0
NAMED_TOGGLE_CLOSE_RANGE_WEAPON	0x3107f0
 sets their close range weapons to 	0x3107f0
Team/Toggle close range weapon	0x3107f0
TEAM_TOGGLE_CLOSE_RANGE_WEAPON	0x3107f0
 toggle auto build 	0x3107f0
Player/Build/Turn on or off a player's structures that auto build units.  (Starts ON)	0x3107f0
TOGGLE_AUTO_BUILD	0x3107f0
 is allowed to build ALL buildings is 	0x3107f0
Base/Allow or Disallow all buildings	0x3107f0
ALLOW_DISALLOW_ALL_BUILDINGS	0x3107f0
 allowed to build 	0x3107f0
Base/Allow or Disallow one building of a specific type	0x3107f0
ALLOW_DISALLOW_ONE_BUILDING	0x3107f0
 seconds: 	0x3107f0
Gradually interpolate all the scene lights to normal Time-Of-Day color, over:	0x3107f0
Scene/Light/Restore (un-dim) all global and ambient lights.	0x3107f0
RESTORE_WORLD_LIGHTS	0x3107f0
 over 	0x3107f0
. blue: 	0x3107f0
 green: 	0x3107f0
Gradually interpolate all the scene lights to the color, red:	0x3107f0
Scene/Light/Dim all global and ambient lights.	0x3107f0
DIM_WORLD_LIGHTS	0x3107f0
Remove all reverb-suppression areas.	0x3107f0
Audio_/All Sounds/Unsuppress all reverb	0x3107f0
AUDIO_REMOVE_ALL_REVERB_SUPPRESSION_POLYGONS	0x3107f0
 to normal.	0x3107f0
Return the reverb of sounds in 	0x3107f0
Audio_/All Sounds/Unsuppress reverb in an area	0x3107f0
AUDIO_REMOVE_REVERB_SUPPRESSION_POLYGON	0x3107f0
 of normal.	0x3107f0
Lower reverb of all sounds in 	0x3107f0
Audio_/All Sounds/Suppress reverb in an area	0x3107f0
AUDIO_SET_REVERB_SUPPRESSION_POLYGON	0x3107f0
Do not use reverb effects	0x3107f0
Audio_/All Sounds/Remove all reverb effects	0x3107f0
AUDIO_REMOVE_REVERB	0x3107f0
Use global reverb room type 	0x3107f0
Audio_/All Sounds/Set Global Reverb Room Type	0x3107f0
AUDIO_SET_REVERB_ROOM_TYPE	0x3107f0
Make all sounds subject to the fade levels set by 'fade all audio.'	0x3107f0
Audio_/Volume/Make All Sounds Subject to Fade	0x3107f0
AUDIO_MAKE_ALL_SOUNDS_SUBJECT_TO_FADE	0x3107f0
 subject to the fade levels set by 'fade all audio.'	0x3107f0
Audio_/Volume/Make Sound Subject to Fade	0x3107f0
AUDIO_MAKE_SOUND_SUBJECT_TO_FADE	0x3107f0
 ignore the fade levels set by 'fade all audio.'	0x3107f0
Make the sound 	0x3107f0
Audio_/Volume/Make Sound Immune to Fade	0x3107f0
AUDIO_MAKE_SOUND_IMMUNE_TO_FADE	0x3107f0
 seconds, and decrease 	0x3107f0
 seconds to increase, hold for 	0x3107f0
. Take 	0x3107f0
 to volume 	0x3107f0
Fade (0-1) all audio from volume 	0x3107f0
Audio_/Volume/Fade all audio	0x3107f0
AUDIO_FADE_VOLUME	0x3107f0
 as though coming from a member of 	0x3107f0
Play sound 	0x3107f0
Multimedia_/Play sound effect from team	0x3107f0
PLAY_SOUND_EFFECT_AT_TEAM	0x3107f0
 ON to the counter 	0x3107f0
 with 	0x3107f0
Store the number of objects owned by 	0x3107f0
Scripting_/Set counter to number of objects owned by player with a model condition	0x3107f0
SET_COUNTER_TO_NUMBER_OBJECTS_PLAYER_OWNES_WITH_MODELCONDITION	0x3107f0
Store the number of object (include dead ones)	0x3107f0
Scripting_/Set numer of object type owned by player to counter including dead ones.	0x3107f0
SET_PLAYER_OWNERSHIP_OF_TYPE_COUNTER_INCLUDE_DEAD	0x3107f0
Store the number of object 	0x3107f0
Scripting_/Set numer of object type owned by player to counter.	0x3107f0
SET_PLAYER_OWNERSHIP_OF_TYPE_COUNTER	0x3107f0
 of the kindof 	0x3107f0
Scripting_/Set number of player kills of a kindof to counter.	0x3107f0
SET_PLAYER_KILLS_OF_KINDOF_TO_COUNTER	0x3107f0
 of the type of object 	0x3107f0
Store the amount of kills by player 	0x3107f0
Scripting_/Set numer of player kills of a type to counter.	0x3107f0
SET_PLAYER_KILLS_OF_TYPE_TO_COUNTER	0x3107f0
Store the amount of command points required to build 	0x3107f0
Scripting_/CommandPoints/Set command points required to build team to counter.	0x3107f0
SET_COMMAND_POINTS_TO_BUILD_TEAM_TO_COUNTER	0x3107f0
Store total number of command point of player 	0x3107f0
Scripting_/CommandPoints/Set command points total of player to counter.	0x3107f0
SET_PLAYER_COMMAND_POINTS_TOTAL_TO_COUNTER	0x3107f0
Store amount of command points available to player 	0x3107f0
Scripting_/CommandPoints/Set command points available to player to counter.	0x3107f0
SET_PLAYER_COMMAND_POINTS_AVAILABLE_TO_COUNTER	0x3107f0
 to the counter 	0x3107f0
Store amount of command points used by player 	0x3107f0
Scripting_/CommandPoints/Set command points used by player to counter.	0x3107f0
SET_PLAYER_COMMAND_POINTS_USED_TO_COUNTER	0x3107f0
 experience points to the counter 	0x3107f0
Scripting_/Counters/Set units experience points to counter.	0x3107f0
SET_UNIT_EXPERIENCE_TO_COUNTER	0x3107f0
 light points to the counter 	0x3107f0
Store amount of 	0x3107f0
Scripting_/Counters/Set players light points to counter.	0x3107f0
SET_PLAYER_LIGHT_POINTS_TO_COUNTER	0x3107f0
 money to the counter 	0x3107f0
Store amount of  	0x3107f0
Scripting_/Counters/Set players money to counter.	0x3107f0
SET_PLAYER_MONEY_TO_COUNTER	0x3107f0
 the upgrade 	0x3107f0
Give Team 	0x3107f0
Team_/Give Team upgrade.	0x3107f0
TEAM_UPGRADE	0x3107f0
 combo units of type 	0x3107f0
Team_/Team recruit combo units from a specific team.	0x3107f0
RECRUIT_COMBO_UNITS_FROM_TEAM	0x3107f0
 from 	0x3307e0,0x3107f0
Team_/Team recruit units from a specific team.	0x3107f0
TEAM_RECRUIT_UNITS_FROM_TEAM	0x3107f0
 from nearby recruitable allied teams.	0x3107f0
 units of type 	0x3307e0,0x3107f0
 will recruit 	0x3107f0
Team_/Team recruit units from nearby teams.	0x3107f0
TEAM_RECRUIT_UNITS	0x3107f0
 with value 	0x3107f0
Scripting_/Counters/Counter do math opertation with value.	0x3107f0
COUNTER_MATH_VALUE	0x3107f0
 with counter 	0x3107f0
Counter 	0x3307e0,0x3107f0
Scripting_/Counters/Counter do math opertation with another Counter.	0x3107f0
COUNTER_MATH_COUNTER	0x3107f0
Team/Team will move to the nearest object that matches both type and player specified.	0x3107f0
TEAM_MOVE_TO_NEAREST_OBJECT_OF_TYPE_OWNED_BY_PLAYER	0x3107f0
 will move to the nearest object of type 	0x3107f0
Team/Team will move to the nearest object that matches type specified.	0x3107f0
TEAM_MOVE_TO_NEAREST_OBJECT_OF_TYPE	0x3107f0
 that is owned by the player 	0x3107f0
Team/Team will move to the nearest object that matches both kindof and player specified.	0x3107f0
TEAM_MOVE_TO_NEAREST_OBJECT_OF_KINDOF_OWNED_BY_PLAYER	0x3107f0
 will move to the nearest object of kindof 	0x3107f0
Team 	0x3107f0
Team/Team will move to the nearest object that matches kindof specified.	0x3107f0
TEAM_MOVE_TO_NEAREST_OBJECT_OF_KINDOF	0x3107f0
 at a foundation	0x3107f0
Build building on the chosen foundation.	0x3107f0
BUILD_BUILDING_ON_FOUNDATION	0x3107f0
 ... then finally reference the new building as: 	0x3107f0
 which is part of the base named, 	0x3107f0
, relative to the object of type, 	0x3107f0
 at a foundation that is the most 	0x3107f0
Base/AI build base building on a foundation chosen by proximity to tactical marker (new).	0x3107f0
BUILD_BASE_BUILDING_PER_TACTICAL_MARKER	0x358370,0x3107f0
 and reference it as	0x3107f0
 at slot 	0x3107f0
Base/AI build base building in slot in a referenced base.	0x3107f0
BUILD_BASE_BUILDING_IN_SLOT	0x3107f0
 and reference it as 	0x3107f0
 in base 	0x3107f0
Build building 	0x3107f0
Player_/AI/AI build base building in first available slot in a referenced base.	0x3107f0
BUILD_BASE_BUILDING	0x3107f0
Instantly unpack the free base: 	0x3107f0
Base/Instant Unpack a base so team can start building structures on it (Free).	0x3107f0
NAMED_BASE_UNPACK_FREE	0x3107f0
and reference it as 	0x3107f0
Unpack the base: 	0x3107f0
Base/Unpack a base so team can start building structures on it.	0x3107f0
NAMED_BASE_UNPACK	0x3107f0
 upgrade 	0x3107f0
 will give 	0x3107f0
Team_/Upgrades/Team gives team upgrade.	0x3107f0
TEAM_GIVE_TEAM_UPGRADE	0x3107f0
 will give nearest team upgrade	0x3107f0
Team_/Upgrades/Team gives nearest team upgrade.	0x3107f0
TEAM_GIVE_NEAREST_TEAM_UPGRADE	0x3107f0
 to reference another team reference 	0x3107f0
Scripting_/Reference/ Set reference to another team reference.	0x3107f0
SET_TEAM_REFERENCE_TO_REFERNECE	0x3107f0
 to reference another unit reference 	0x3107f0
Scripting_/Reference/ Set reference to another unit reference.	0x3107f0
SET_UNIT_REFERENCE_TO_REFERENCE	0x3107f0
 to reference team 	0x3107f0
Scripting_/Reference/ Set reference to a team.	0x3107f0
SET_TEAM_REFERENCE	0x3107f0
 delay until it is ready again.	0x3107f0
Unit/gate/ Delay a sequential script until the gate is ready again	0x3107f0
GATE_READY	0x3107f0
 Close gate.	0x3107f0
Unit/gate/ close a gate	0x3107f0
GATE_CLOSE	0x3107f0
Open gate 	0x3107f0
Unit/gate/ open a gate	0x3107f0
GATE_OPEN	0x3107f0
 to reference it. (Building must be inside map boundaries: 	0x3107f0
 and set 	0x3107f0
Find the home base owned by 	0x3107f0
FIND_HOME_BASE_OF_PLAYER	0x3107f0
 (and owned by the teams Player) and set its reference to 	0x3107f0
nearest the team	0x3107f0
Find the unit matching a type in the list 	0x3107f0
Scripting/Reference/ Set a reference to the unit nearest-to-team, owned by player.	0x3107f0
TEAM_SET_PLAYERS_NEAREST_UNIT_OF_TYPE_TO_REFERENCE	0x3107f0
 to reference unit 	0x3107f0
Scripting_/Reference/ Set reference to a unit.	0x3107f0
SET_UNIT_REFERENCE	0x3107f0
Team_/ Team has (comparison) threat level within radius.	0x3107f0
TEAM_THREAT_LEVEL	0x3107f0
 within radius 	0x3107f0
 threat level 	0x3107f0
Unit_/ Unit has (comparison) threat level within radius.	0x3107f0
UNIT_THREAT_LEVEL	0x3107f0
 to retract it's siege ramp from the wall 	0x3107f0
Unit_/Siege/ Retract the siege tower from that wall it's attached to.	0x3107f0
RETRACT_SIEGE_FROM_WALL	0x3107f0
 to attach it's siege ramp to the wall 	0x3107f0
 Request 	0x3107f0
Unit_/Siege/ Deploy the siege tower to the named wall.	0x3107f0
DEPLOY_SIEGE_ON_NAMED_WALL	0x3107f0
 allow cancel 	0x3107f0
Play Movie named 	0x3107f0
PlayMovie/ Plays a movie in game.	0x3107f0
PLAY_MOVIE_IN_GAME	0x3107f0
Toggles on & off the AVI capture.	0x3107f0
AVICapture_/ Toggles on & off AVI capture	0x3107f0
TOGGLE_AVI_CAPTURE	0x3107f0
Exit back into the living world map region view.	0x3107f0
LivingWorld_/ Exit back into region view	0x3107f0
LIVING_WORLD_EXIT_TO_REGION_VIEW	0x3107f0
 from the living world.	0x3107f0
Despawn Army named 	0x3107f0
LivingWorld_/ Despawn an army from the Living World	0x3107f0
LIVING_WORLD_DESPAWN_ARMY	0x3107f0
Spawn Army named 	0x3107f0
LivingWorld_/ Spawn an army in a named zone	0x3107f0
LIVING_WORLD_SPAWN_ARMY_IN_ZONE	0x3107f0
 of TemplateType 	0x3107f0
Spawn Army named	0x3107f0
LivingWorld_/ Spawn an army at world position	0x3107f0
LIVING_WORLD_SPAWN_ARMY_AT_POSITION	0x3107f0
 zone.	0x3107f0
