module	origin	shape	reg_site_rva	name_literal_rva	new_module_instance_rva	new_module_data_rva	interface_mask	object_size	constructor_rva
SlaughterHordeContain	ModuleFactory::init	mapAssign	0x0012D1D6	0x00C909E4	0x00116D00	0x00116D80	0x5F	0x9C4	0x0024E7A0
SlaveWatcherBehavior	ModuleFactory::init	mapAssign	0x0012D4EA	0x00C908D0	0x001174C0	0x00117540		0x24	0x00207300
SlavedUpdate	ModuleFactory::init	addModuleInternal	0x0012EA10	0x00C902A8	0x0011B270	0x00125A60	0x1	0x44	0x002A4260
SlowDeathBehavior	ModuleFactory::init	mapAssign	0x0012C9E2	0x00C90BF4	0x00115470	0x001154F0		0x50	0x00207B60
SpawnBehavior	ModuleFactory::init	mapAssign	0x0012CA3A	0x00C90BE4	0x00115590	0x0012AAC0	0x87	0x60	0x0020AE30
SpawnPointProductionExitUpdate	ModuleFactory::init	addModuleInternal	0x0012E9D3	0x00C902B8	0x0011B470	0x00126C70	0x1	0xF4	0x002D1480
SpawnUnitBehavior	ModuleFactory::init	mapAssign	0x0012CB9A	0x00C90B8C	0x0011E1D0	0x00125D70		0x28	0x0020D0F0
SpecialAbilityUpdate	ModuleFactory::init	addModuleInternal	0x0012EACA	0x00C9025C	0x001140C0	0x00114140	0x1	0xE8	0x002A6360
SpecialDisguiseUpdate	ModuleFactory::init	addModuleInternal	0x0012F139	0x00C8404C	0x0011CD40	0x0011CDC0	0x9	0xF4	0x00267820
SpecialEnemySenseUpdate	ModuleFactory::init	mapAssign	0x0012DE32	0x00C90674	0x0011A500	0x00123D90		0x20	0x002AAF30
SpecialPowerCompletionDie	ModuleFactory::init	mapAssign	0x0012D7AA	0x00C90848	0x00117AA0	0x001236C0		0x1C	0x00255E30
SpecialPowerCreate	ModuleFactory::init	addModuleInternal	0x0012F9A1	0x00C8FD34	0x0011E780	0x00113BE0	0x8	0x18	0x00250070
SpecialPowerModule	ModuleFactory::init	addModuleInternal	0x001300C7	0x00C8FAAC	0x00119540	0x001195C0	0x100	0x2C	0x002693E0
SplitHordeSpecialPower	ModuleFactory::init	addModuleInternal	0x001306BE	0x00C8F830	0x00121620	0x001216A0	0x100	0x2C	0x0026B030
SquishCollide	ModuleFactory::init	addModuleInternal	0x0012FB89	0x00C8FC8C	0x0011EBA0	0x00124800	0x10	0x14	0x00216BA0
StatusBitsUpgrade	ModuleFactory::init	addModuleInternal	0x0012F336	0x00C8FF8C	0x0011D5C0	0x0012B650	0x84	0x1C	0x002D7DD0
StealthDetectorUpdate	ModuleFactory::init	mapAssign	0x0012D962	0x00C907D4	0x0011B2F0	0x00126BE0		0x24	0x002AB4A0
StealthUpdate	ModuleFactory::init	mapAssign	0x0012DA12	0x00C8403C	0x0011B3F0	0x0012A680		0x44	0x002ACB70
StealthUpgrade	ModuleFactory::init	addModuleInternal	0x0012F3B6	0x00C8FF60	0x0011D6C0	0x0012BF00	0x84	0x1C	0x002D8000
StopSpecialPower	ModuleFactory::init	addModuleInternal	0x00130504	0x00C8F8EC	0x00120E80	0x00120F00	0x100	0x30	0x0026B340
StructureBody	ModuleFactory::init	addModuleInternal	0x0012FEDF	0x00C8FB64	0x0011F5E0	0x001294A0	0x20	0xE4	0x00214AF0
StructureCollapseUpdate	ModuleFactory::init	addModuleInternal	0x0012EDE3	0x00C90148	0x0011B630	0x00128B10	0x3	0x44	0x002AE200
StructureToppleUpdate	ModuleFactory::init	addModuleInternal	0x0012EDA6	0x00C90164	0x0011B750	0x0012C250	0x3	0x58	0x002AF1E0
SubObjectsUpgrade	ModuleFactory::init	addModuleInternal	0x0012F376	0x00C8FF74	0x0011D640	0x0012B7F0	0x84	0x24	0x002D83A0
SupplyCenterCreate	ModuleFactory::init	addModuleInternal	0x0012F927	0x00C8FD68	0x0011E3E0	0x00113BE0	0x8	0x18	0x00250260
SupplyCenterDockUpdate	ModuleFactory::init	addModuleInternal	0x0012EB44	0x00C83BC0	0x0011AF40	0x0011AFC0	0x1	0x88	0x002CF0F0
SupplyCenterProductionExitUpdate	ModuleFactory::init	addModuleInternal	0x0012EB07	0x00C90234	0x0011B7E0	0x001243A0	0x1	0x34	0x002D22F0
SupplyTruckAIUpdate	ModuleFactory::init	mapAssign	0x0012E35A	0x00C90544	0x0011B930	0x0011B9B0	0x11	0x3D4	0x002C6AE0
SupplyWarehouseCreate	ModuleFactory::init	addModuleInternal	0x0012F964	0x00C8FD4C	0x0011E460	0x00113BE0	0x8	0x18	0x00250460
SupplyWarehouseCripplingBehavior	ModuleFactory::init	mapAssign	0x0012D38E	0x00C90948	0x00117170	0x001171F0		0x2C	0x0020D5C0
SupplyWarehouseDockUpdate	ModuleFactory::init	addModuleInternal	0x0012EB81	0x00C83BDC	0x0011BA40	0x0011BAC0	0x1	0x8C	0x002CF800
SwayClientUpdate	ModuleFactory::init	addModuleInternal	0x001307BF	0x00C8F7B8	0x00121AF0	0x00113BE0	0x800	0x2C	0x006044E0
SymbioticStructuresBody	ModuleFactory::init	addModuleInternal	0x0012FF1C	0x00C8FB48	0x0011F690	0x00128DA0	0x20	0xEC	0x00214F00
TaintSpecialPower	ModuleFactory::init	addModuleInternal	0x00130344	0x00C8F994	0x00120700	0x00120780	0x100	0x2C	0x0026B650
TemporarilyDefectUpdate	ModuleFactory::init	addModuleInternal	0x0012F870	0x00C8FDA8	0x001220C0	0x00124C20	0x1	0x30	0x002B0AD0
ToggleHiddenSpecialAbilityUpdate	ModuleFactory::init	addModuleInternal	0x0012E828	0x00C903A8	0x0011C9E0	0x0011CA60	0x1	0xEC	0x0026BFD0
ToggleMountedSpecialAbilityUpdate	ModuleFactory::init	addModuleInternal	0x0012E7EB	0x00C903D0	0x0011C890	0x0011C910	0x9	0xEC	0x0026C730
TooltipUpgrade	ModuleFactory::init	addModuleInternal	0x0012F776	0x00C8FE18	0x0011E030	0x0012BC30	0x84	0x1C	0x002D93E0
ToppleUpdate	ModuleFactory::init	mapAssign	0x0012DCD2	0x00C906DC	0x0011BB50	0x0011BBD0	0x11	0x58	0x002B1060
TransitionDamageFX	ModuleFactory::init	addModuleInternal	0x0012FA95	0x00C8FCD8	0x0011E880	0x00124770	0x4	0xE0	0x00252F50
TransportAIUpdate	ModuleFactory::init	addModuleInternal	0x0012EED7	0x00C900FC	0x0011BD80	0x00116860	0x11	0x340	0x002C7020
TransportContain	ModuleFactory::init	mapAssign	0x0012CF12	0x00C90AAC	0x00115C50	0x00115CD0	0x5F	0xE4	0x0022D010
TunnelContain	ModuleFactory::init	mapAssign	0x0012D01E	0x00C90A68	0x00116530	0x0012A070	0x5F	0xD8	0x0022EE70
UnitCrateCollide	ModuleFactory::init	addModuleInternal	0x0012FCF7	0x00C8FC08	0x0011F030	0x00125F10	0x10	0x18	0x00218870
UnpauseSpecialPowerUpgrade	ModuleFactory::init	addModuleInternal	0x0012F4B6	0x00C8FEFC	0x0011D740	0x0011D7C0	0x84	0x1C	0x002D9760
UpgradeDie	ModuleFactory::init	mapAssign	0x0012D802	0x00C90838	0x00117B40	0x00125710		0x14	0x002560E0
UpgradeSoundSelectorClientBehavior	ModuleFactory::init	addModuleInternal	0x001308C3	0x00C8AD58	0x00124B30	0x00121ED0	0x1000	0x10	0x00113DA0
VeterancyCrateCollide	ModuleFactory::init	addModuleInternal	0x0012FD34	0x00C8FBEC	0x0011F0E0	0x00125FD0	0x10	0x18	0x00218BE0
W3DBuffDraw	W3D draw registrar	addModuleInternal	0x006C03BB	0x00D1D1F4	0x006BF7A0	0x006BF820	0x400	0x10	0x00750240
W3DDebrisDraw	W3D draw registrar	addModuleInternal	0x006C0046	0x00D1D2DC	0x006BEF40	0x00113BE0	0x400	0x48	0x007505C0
W3DDefaultDraw	W3D draw registrar	addModuleInternal	0x006C0001	0x00C9498C	0x006BEFC0	0x00113BE0	0x400	0x14	0x007513C0
W3DFloorDraw	W3D draw registrar	addModuleInternal	0x006C02EF	0x00D1D224	0x006BF9C0	0x006BFA40	0x400	0x14	0x007517A0
W3DHordeModelDraw	W3D draw registrar	addModuleInternal	0x006C00CD	0x00D1D2A8	0x006BFBE0	0x006BFC60	0x400	0x288	0x00751CF0
W3DLaserDraw	W3D draw registrar	addModuleInternal	0x006C0112	0x00D1D298	0x006BF150	0x006BF1D0	0x400	0x5C	0x00757E70
W3DLightDraw	W3D draw registrar	addModuleInternal	0x006C0379	0x00D1D204	0x006BFAD0	0x006BFB50	0x400	0x20	0x007583A0
W3DPropDraw	W3D draw registrar	addModuleInternal	0x006C0334	0x00D1D214	0x006BF8B0	0x006BF930	0x400	0x10	0x007592C0
W3DQuadrupedDraw	W3D draw registrar	addModuleInternal	0x006C0154	0x00D1D284	0x006BF260	0x006BFEB0	0x400	0x27C	0x00759730
W3DRopeDraw	W3D draw registrar	addModuleInternal	0x006C0199	0x00D1D274	0x006BF2E0	0x00113BE0	0x400	0x54	0x0075A490
W3DScriptedModelDraw	W3D draw registrar	addModuleInternal	0x006C0088	0x00D1D2C0	0x006BF040	0x006BF0C0	0x400	0x27C	0x00773360
W3DStreakDraw	W3D draw registrar	addModuleInternal	0x006C03FD	0x00D1D1E4	0x006BFCF0	0x006BFD70	0x400	0x14	0x0077D930
W3DSupplyDraw	W3D draw registrar	addModuleInternal	0x006C01DB	0x00D1D264	0x006BF360	0x006BF3E0	0x400	0x284	0x0077DB70
W3DTankDraw	W3D draw registrar	addModuleInternal	0x006C0265	0x00D1D244	0x006BF580	0x006BF600	0x400	0x2F8	0x0077F050
W3DTreeDraw	W3D draw registrar	addModuleInternal	0x006C02AA	0x00D1D234	0x006BF690	0x006BF710	0x400	0x10	0x0077F1C0
W3DTruckDraw	W3D draw registrar	addModuleInternal	0x006C0220	0x00D1D254	0x006BF470	0x006BF4F0	0x400	0x3EC	0x0077FB20
WallUpgradeUpdate	ModuleFactory::init	addModuleInternal	0x0012F008	0x00C90090	0x0011C170	0x001245B0	0x5	0x34	0x002B2270
WanderAIUpdate	ModuleFactory::init	addModuleInternal	0x0012EF14	0x00C900E8	0x0011BE60	0x0011BEE0	0x11	0x340	0x002C7520
WargBehavior	ModuleFactory::init	mapAssign	0x0012CC4A	0x00C90B58	0x00115620	0x00122F90		0x10	0x0020D980
WeaponBonusUpgrade	ModuleFactory::init	addModuleInternal	0x0012F4F6	0x00C8FEE4	0x0011D850	0x0012BF00	0x84	0x1C	0x002DA320
WeaponBonusUpgrade	ModuleFactory::init	addModuleInternal	0x0012F576	0x00C8FEE4	0x0011D850	0x0012BF00	0x84	0x1C	0x002DA320
WeaponChangeSpecialPowerModule	ModuleFactory::init	addModuleInternal	0x00130284	0x00C8F9E4	0x001203D0	0x00120450	0x100	0x2C	0x0026CC80
WeaponFireSpecialAbilityUpdate	ModuleFactory::init	addModuleInternal	0x0012E865	0x00C90380	0x001193B0	0x00119430	0x1	0xEC	0x0026D670
WeaponModeSpecialPowerUpdate	ModuleFactory::init	addModuleInternal	0x0012E76E	0x00C90424	0x00119670	0x001196F0	0x101	0x3C	0x002B2BD0
WeaponSetSpecialAbilityUpdate	ModuleFactory::init	addModuleInternal	0x0012E8DF	0x00C90338	0x00119270	0x001192F0	0x1	0xE8	0x0026DC50
WeaponSetUpgrade	ModuleFactory::init	addModuleInternal	0x0012F536	0x00C8FED0	0x0011D8D0	0x0012BF00	0x84	0x1C	0x002DA4E0
WorkerAIUpdate	ModuleFactory::init	addModuleInternal	0x0012EFCB	0x00C900A8	0x0011C060	0x0011C0E0	0x11	0x508	0x002C9ED0
WoundArrowUpdate	ModuleFactory::init	addModuleInternal	0x00130544	0x00C8F8D8	0x00120F90	0x00121010	0x1	0xEC	0x0026DFB0
